id,teacher,model,input_tokens,output_tokens,hit_token_cap,error,generation_time_s,timestamp
21,oss,api-gpt-oss-120b,506,1423,False,,7.88,2026-05-19T15:07:47.349692+00:00
22,sonnet,claude-sonnet-4-6,314,1032,False,,14.09,2026-05-19T15:08:08.136394+00:00
22,gpt4,gpt-5.4,290,555,False,,15.29,2026-05-19T15:08:08.039142+00:00
22,oss,api-gpt-oss-120b,351,3347,False,,20.59,2026-05-19T15:08:08.043424+00:00
23,sonnet,claude-sonnet-4-6,368,73,False,,2.28,2026-05-19T15:08:21.644078+00:00
23,gpt4,gpt-5.4,341,164,False,,2.34,2026-05-19T15:08:21.346488+00:00
23,oss,api-gpt-oss-120b,402,2374,False,,13.12,2026-05-19T15:08:21.438217+00:00
24,sonnet,claude-sonnet-4-6,241,163,False,,3.08,2026-05-19T15:08:25.247256+00:00
24,gpt4,gpt-5.4,218,242,False,,3.4,2026-05-19T15:08:25.239058+00:00
24,oss,api-gpt-oss-120b,279,377,False,,2.1,2026-05-19T15:08:25.243081+00:00
25,sonnet,claude-sonnet-4-6,630,323,False,,4.84,2026-05-19T15:08:30.244825+00:00
25,gpt4,gpt-5.4,530,307,False,,3.41,2026-05-19T15:08:30.237625+00:00
25,oss,api-gpt-oss-120b,591,457,False,,2.6,2026-05-19T15:08:30.241310+00:00
26,sonnet,claude-sonnet-4-6,285,1211,False,,20.86,2026-05-19T15:08:51.147625+00:00
26,gpt4,gpt-5.4,258,383,False,,5.5,2026-05-19T15:08:51.138423+00:00
26,oss,api-gpt-oss-120b,319,2507,False,,13.61,2026-05-19T15:08:51.143127+00:00
27,sonnet,claude-sonnet-4-6,392,169,False,,3.5,2026-05-19T15:08:56.245074+00:00
27,gpt4,gpt-5.4,346,256,False,,5.0,2026-05-19T15:08:56.238179+00:00
27,oss,api-gpt-oss-120b,407,376,False,,2.19,2026-05-19T15:08:56.241492+00:00
28,sonnet,claude-sonnet-4-6,419,254,False,,4.4,2026-05-19T15:09:00.745548+00:00
28,gpt4,gpt-5.4,378,201,False,,3.27,2026-05-19T15:09:00.739017+00:00
28,oss,api-gpt-oss-120b,439,541,False,,3.0,2026-05-19T15:09:00.742309+00:00
29,sonnet,claude-sonnet-4-6,255,120,False,,2.7,2026-05-19T15:09:04.039029+00:00
29,gpt4,gpt-5.4,226,185,False,,3.1,2026-05-19T15:09:03.938000+00:00
29,oss,api-gpt-oss-120b,287,366,False,,2.1,2026-05-19T15:09:03.942488+00:00
30,sonnet,claude-sonnet-4-6,358,343,False,,5.87,2026-05-19T15:09:10.336892+00:00
